Tag,count
' Queen Suite with City View ',1
' Superior Room with Sofa Bed 3 Adults ',1
' Minsters Deluxe One Bedroom Suite ',1
' Suite with Harbour View ',1
' Suite with Balcony and Spa Access ',1
' Quadruple Room 2 Adults 2 Children ',1
' Executive Suite 1 King ',1
' King Suite Non Smoking with Executive Lounge Access ',1
' Double room 1 or 2 people ',1
' Privilege Room with Extra Bed 3 Adults ',1
' King Room with Sofa Bed ',1
' Courtyard Suite with St Stephen s Cathedral view ',1
' Basic Double or Twin Room ',1
' Design Suite ',1
' Superior room with sofa bed 4 Adults ',1
' Stayed 31 nights '],1
' Duomo Suite ',1
' Executive Apartment ',1
' Double Standard ',1
' FAMILY PLAN ',1
' One Bedroom Apsley Suite ',1
' Special Offer Room with Continental Breakfast ',1
' King Loft ',1
' penta PlayerPad Suite ',1
' Westminster Suite with King Bed ',1
' Apartment Attic ',1
' Executive Double or Twin Room With Terrace ',1
' Deluxe One Bedroom Suite with River View ',1
' One Bedroom Executive Suite with Lounge Access ',1
' Twin Grand Premier with Canal View ',1
' Deluxe One Bedroom Park Suite ',1
' King Master Suite ',1
' Deluxe Double or Twin Room with Pool Access ',1
' Deluxe Double Room 3 Adult ',1
' Superior Suite Water Front ',1
' Luxury Suite with Garden View ',1
' Small Double Room 1 2 adults ',1
' Luxury Single Room ',1
' Family Room with View 2 Adults 2 Children ',1
' Two Connected Double Rooms ',1
' One Bedroom City Suite ',1
' Superior Room with Sofa Bed ',1
' Comfort Plus Twin Room ',1
' Andaz Suite ',1
' Fantastic Suite ',1
' Superior One Bedroom Suite with Executive Lounge Access ',1
' Executive Suite with River View ',1
' Family King Room ',1
' Universitat Single Room ',1
' Art Room XL with Iconic View ',1
' Twin Hilton Executive Room with Access to Executive Lounge ',1
' Penthouse Plaza Suite with Access to Executive Lounge ',1
' Deluxe Room 2 Adults 1 Child ',1
' Park Suite with Executive Lounge Access ',1
' Regency Suite King ',1
' Luxury Suite music theme ',1
' Executive Twin Room with River View ',1
' Principe Suite ',1
' Suite with Garden View and Parking ',1
' Suite with City View and Parking ',1
' Deluxe Double or Twin Room Disability Access ',1
' Suite with Spa Access 4 Adults ',1
' Luxury Suite antique theme ',1
' Marvelous Suite ',1
' Superior Executive Twin Room ',1
' Standard Double or Twin Room with Extra Bed ',1
' Superior Junior Suite Single Use ',1
' Junior Suite with Extra Bed 3 Adults ',1
' Executive Double Room with Park View ',1
' Four Seasons Executive King Suite ',1
' Suite with Panoramic View ',1
[' Family with young children '],1
' Superior Double Room with Sofa ',1
' Junior Suite with Hydromassage Shower ',1
' Superior Suite 2 Adults ',1
