Tag,count
' Standard Room with Queensize bed and Single Sofa Bed ',105
' Superior Double or Twin Room with Spa Access ',104
' Small Double or Twin Room ',104
' Superior Double Room with free unlimited WIFI ',104
' Fabulous Double or Twin Room ',104
' Executive Double Room with Air Conditioning ',103
' Superior Double or Twin Room with Free Wifi ',103
' Double Family Guestroom ',102
' Executive Club Room ',102
' Standard Guest Room ',102
' Executive Room with City View ',102
' Standard Double or Twin Room with Extra bed 2 Adults 1 Child ',102
' Executive Studio City View ',101
' Family Suite 2 Adults 2 Children ',101
' Corner Suite ',101
' Art Room with Iconic View ',101
' Business Single Room ',100
' Superior M Double Room ',100
' Executive Twin Room with Lounge Access ',100
' Double Room Curieuse ',100
' Standard Room with 1 Double Bed and 1 Sofa Bed ',100
' Superior Double or Twin Room with City View ',100
' Classic Guest room 1 King or 2 Twin Single Bed s ',100
' Twin Room with Public Transport Ticket ',100
' Junior Double ',100
' Superior Double Double ',99
' Executive Double ',99
' Double Room with Garden View ',99
' Deluxe Double Room with Eiffel Tower view ',98
' Double Queen Waterfront ',98
' Cozy Double or Twin Room ',98
' Triple Hilton Family Room ',97
' Andaz Double Room ',97
' Deluxe Studio Suite ',96
' King Guestroom ',96
' Superior Room with Spa Fitness Access ',96
' Double Room Intemporelle ',96
' Penthouse Suite with Terrace and City View ',96
' Superior Double Room with Queen size bed ',95
' Duplex Junior Suite with Spa access ',95
' Secret Double Room ',95
' Executive King Room Non Smoking ',94
' Junior Triple Room ',94
' Superior Double or Twin Room XL ',94
' Stayed 13 nights '],93
' Duplex Suite ',93
' Double Room with French Bed ',93
' Classic Double Room with Garden View ',92
' Garden King Room ',92
' Superior Room with 1 Queen Bed 1 Sofa Bed ',92
' Deluxe Room with Courtyard View ',92
' Business Class Room ',91
' Luxury Four Poster ',91
' Deluxe ',91
' Executive Queen Room with Sofa ',90
' Classic Room with Queen Bed ',89
' Superior Room with City View ',89
' Standard Studio ',89
' X Ordinary Room ',89
' Family Room 4 guest ',89
' Wonderful Exchange King ',89
' Junior Suite 3 Adults ',88
' Two Bedroom Suite ',88
' Superior Room with 1 Double Bed ',88
' Royal Mews View Classic Double ',88
' Tradition Double Room ',88
' Superior Room with Double Bed and Sofa Bed ',88
' Superior Double Room with Balcony and City View ',87
' Apartment 1 2 Adults ',87
' Souterrain Comfort Room ',87
' Classique Double Room ',86
' Family Room with Spa access ',86
' Superior Family Room 2 Adults 1 Child ',86
' Double Hilton Deluxe ',86
' Double Room with Free Airport Shuttle Service from 5 00am to 00 30am ',86
' King Hilton Guestroom ',86
' Deluxe Double Room Canal View ',85
' Design Double or Twin Room ',85
' Superior Queen Room with Double Sofa ',84
' Standard Double Room with Queen Bed ',84
' Deluxe King Room with Water View ',83
' penta Standard Room ',83
' Executive Queen Room with Balcony ',83
' Superior Plus Twin Room ',83
' Studio Room ',82
' Luxury Family Room ',82
' Standard Apartment ',82
' Double Room Attic ',82
' One Bed Feature Room ',82
' Deluxe Double Room with Private Access to Pool and Spa ',81
' Superior Queen Room with Single Sofa Bed ',81
' Standard Double Room with View ',81
' Premier Room with Balcony ',81
' Standard Room with One Double Bed and Single Sofa Bed ',80
' Double Room with Private Bathroom ',80
' Classic Triple Room 3 Adults ',80
' Single Room with Private Bathroom ',79
' Chelsea Twin Suite ',79
' Twin Room 1 2 Adults ',79
' Superior Room with View of Big Ben ',79
' Twin Hilton Deluxe Room ',79
' Privilege King Room ',79
' Standard Double or Twin Room 1 2 Adults ',79
' Family Superior Room ',78
' Budget Single Room ',78
' Superior Quadruple Room ',77
' Deluxe Double or Twin Room with Terrace ',77
' Classic Double Room Loge Classique ',76
' Stayed 14 nights '],76
' Deluxe Double Twin Room ',76
' Superior Studio ',76
' Superior Twin Room with View ',76
' Superior Deluxe Double or Twin Room ',76
' Superior Twin or Double Room ',75
' Queen Guest Room with River View ',75
' Double or Twin Room with Extra Bed with Balcony ',75
' Deluxe Eiffel Tower King Room ',74
' Superior Queen Room with 2 Single Sofa Beds ',74
' Executive King Room Non Smoking with Executive Lounge Access ',74
' Standard Double or Twin Room Annex Building ',74
' Deluxe Double Room 1 2 adults ',74
' Stayed 15 nights ',73
' Queen Deluxe Room ',73
' King Superior Room ',73
' Superior Double Room with Private Patio ',73
' Suite with Hot Tub ',73
' Double Room Medium ',73
' Treat your Partner Package Double Room ',72
' Single Studio ',72
